,ds,y
245,2014-12-24,58.67
246,2014-12-26,58.31
247,2014-12-29,57.86
248,2014-12-30,58.72
249,2014-12-31,55.27
250,2015-01-02,57.86
251,2015-01-05,55.27
252,2015-01-06,55.38
253,2015-01-07,49.06
254,2015-01-08,49.43
255,2015-01-09,51.08
256,2015-01-12,49.43
257,2015-01-13,47.64
258,2015-01-14,45.82
259,2015-01-15,47.66
260,2015-01-16,46.9
261,2015-01-20,47.38
262,2015-01-21,46.5
263,2015-01-22,46.09
264,2015-01-23,46.69
265,2015-01-26,46.09
266,2015-01-27,46.69
267,2015-01-28,47.07
268,2015-01-29,46.61
269,2015-01-30,46.07
270,2015-02-02,46.61
271,2015-02-03,47.52
272,2015-02-04,55.07
273,2015-02-05,55.98
274,2015-02-06,51.74
275,2015-02-09,55.98
276,2015-02-10,55.88
277,2015-02-11,53.48
278,2015-02-12,56.23
279,2015-02-13,57.0
280,2015-02-17,60.33
281,2015-02-18,60.72
282,2015-02-19,58.78
283,2015-02-20,61.57
284,2015-02-23,58.78
285,2015-02-24,60.99
286,2015-02-25,59.77
287,2015-02-26,61.39
288,2015-02-27,59.78
289,2015-03-02,61.39
290,2015-03-03,61.89
291,2015-03-04,59.18
292,2015-03-05,60.33
293,2015-03-06,60.75
294,2015-03-09,60.33
295,2015-03-10,59.15
296,2015-03-11,56.46
297,2015-03-12,56.66
298,2015-03-13,58.67
299,2015-03-16,56.66
300,2015-03-17,54.8
301,2015-03-18,52.59
302,2015-03-19,52.96
303,2015-03-20,52.0
304,2015-03-23,52.96
305,2015-03-24,53.88
306,2015-03-25,54.18
307,2015-03-26,57.02
308,2015-03-27,53.82
309,2015-03-30,57.02
310,2015-03-31,56.44
311,2015-04-01,55.73
312,2015-04-02,55.73
313,2015-04-06,55.73
314,2015-04-07,55.73
315,2015-04-08,56.42
316,2015-04-09,56.04
317,2015-04-10,55.73
318,2015-04-13,56.04
319,2015-04-14,56.82
320,2015-04-15,59.32
321,2015-04-16,60.13
322,2015-04-17,57.14
323,2015-04-20,60.13
324,2015-04-21,61.31
325,2015-04-22,60.12
326,2015-04-23,62.66
327,2015-04-24,61.2
328,2015-04-27,62.66
329,2015-04-28,62.96
330,2015-04-29,63.97
331,2015-04-30,63.9
332,2015-05-01,62.86
333,2015-05-04,63.9
334,2015-05-05,64.13
335,2015-05-06,66.22
336,2015-05-07,64.93
337,2015-05-08,64.62
338,2015-05-11,64.93
339,2015-05-12,63.82
340,2015-05-13,66.33
341,2015-05-14,65.58
342,2015-05-15,62.82
343,2015-05-18,65.58
344,2015-05-19,64.69
345,2015-05-20,63.52
346,2015-05-21,64.7
347,2015-05-22,65.15
348,2015-05-26,64.7
349,2015-05-27,61.35
350,2015-05-28,60.12
351,2015-05-29,64.52
352,2015-06-01,60.12
353,2015-06-02,63.16
354,2015-06-03,62.78
355,2015-06-04,60.34
356,2015-06-05,62.87
357,2015-06-08,60.34
358,2015-06-09,60.36
359,2015-06-10,64.68
360,2015-06-11,63.76
